8_puzzle	eta_pajZala#eta_pajZala#noun#2#RM
guided_search_methods	nirxeSiwa_Koja_viXi/gAideda_sarca_meWadsa/nirxeSiwa_Koja_viXiyAz/gAidida_sarca_mEWadsa/nirxeSiwa_Koja_viXiyoM#nirxeSiwa_Koja_viXi/gAideda_sarca_meWadsa/nirxeSiwa_Koja_viXiyAz/gAidida_sarca_mEWadsa/nirxeSiwa_Koja_viXiyoM#noun#3#RM
h_dash	H_dESa#H_dESa#noun#2#RM
h_dash_h_value	eca_dESa_eca_vElyU#eca_dESa_eca_vElyU#noun#4#RM
h_dash_root_node	eca_dESa_rUta_noda#eca_dESa_rUta_noda#noun#4#RM
h_dash_value	eca_dESa_vElyU#eca_dESa_vElyU#noun#3#RM
handwritten_case_recognition	haswaliKiwa_pahacAna_mAmaloM/hEMdaritana_kesa_rikagniSana#haswaliKiwa_pahacAna_mAmaloM/hEMdaritana_kesa_rikagniSana#noun#3#RM
hard_coding	hArda_kodiMga#hArda_kodiMga#noun#2#RM
hard_constraint	soYPta_kaMstreMnta/hArda_kaMstreMnta#soYPta_kaMstreMnta/hArda_kaMstreMnta#noun#2#RM
hard_constraints	hArda_kaMstreMntsa#hArda_kaMstreMntsa#noun#2#RM
heuristic_crossover	heyuristika_kroYsaovara#heyuristika_kroYsaovara#noun#2#RM
heuristic_function	hyuristika_PaMkSana/hyuristika_PZaMkSana/hyUristika_PaMkSana/hyUristikaPaMkSana#hyuristika_PaMkSana/hyuristika_PZaMkSana/hyUristika_PaMkSana/hyUristikaPaMkSana#noun#2#RM
heuristic_functions	hyUristika_PaMkSansa#hyUristika_PaMkSansa#noun#2#RM
heuristic_search	hyUristika_sarca#hyUristika_sarca#noun#2#RM
heuristic_search_method	hyUristika_sarca_meWada#hyUristika_sarca_meWada#noun#3#RM
heuristic_search_methods	hyUristika_sarca_meWada/hyUristika_sarca_meWadsa#hyUristika_sarca_meWada/hyUristika_sarca_meWadsa#noun#3#RM
heuristic_search_process	hyUristika_sarca_prosesa#hyUristika_sarca_prosesa#noun#3#RM
heuristic_value	hyUristika_mAna/hyUristika_vElyU/hyUristika_mUlya/hyUristika_velyU#hyUristika_mAna/hyUristika_vElyU/hyUristika_mUlya/hyUristika_velyU#noun#2#RM
hidden_layer	CipI_parawa/hidana_leyara#CipI_parawa/hidana_leyara#noun#2#RM
hidden_layer_unit	CipI_parawa_ikAI/hidana_leyara_yUnita#CipI_parawa_ikAI/hidana_leyara_yUnita#noun#3#RM
hidden_markov_model	hidana_mArkova_moYdala#hidana_mArkova_moYdala#noun#3#RM
hidden_output_unit	CipI_Autaputa_ikAiyoM/hidana_Autaputa_yUnita#CipI_Autaputa_ikAiyoM/hidana_Autaputa_yUnita#noun#3#RM
hidden_unit	CipI_ikAiyAz/hidana_yUnita/CipI_ikAiyoM/hidana_yUnitsa/CipI_ikAI/CipI_parawa#CipI_ikAiyAz/hidana_yUnita/CipI_ikAiyoM/hidana_yUnitsa/CipI_ikAI/CipI_parawa#noun#2#RM
hidden_units	CipI_ikAiyoM/hidana_yUnitsa/CipI_ikAIyAz/CipI_huI_ikAiyAz/CipI_huI_ikAiyoM#CipI_ikAiyoM/hidana_yUnitsa/CipI_ikAIyAz/CipI_huI_ikAiyAz/CipI_huI_ikAiyoM#noun#2#RM
hierarchical_generate_and_test	hAyarkiyala_janareta_eMda_testa#hAyarkiyala_janareta_eMda_testa#noun#4#RM
hill_climbing	stIpesta_eseMta_hila_klAimbiMga/hila_klAimbiMga#stIpesta_eseMta_hila_klAimbiMga/hila_klAimbiMga#noun#2#RM
home_state	homa_steta#homa_steta#noun#2#RM
hopfield_network	hoYpaPIlda_netavarka/hoYpaPIlda_netavarksa#hoYpaPIlda_netavarka/hoYpaPIlda_netavarksa#noun#2#RM
hopfield_networks	hoYpaPIlda_netavarksa#hoYpaPIlda_netavarksa#noun#2#RM
horizon_effect	kRiwija_praBAva/horAjZana_iPekta#kRiwija_praBAva/horAjZana_iPekta#noun#2#RM
ids_agents	AIdIesa_ejeMtoM#AIdIesa_ejeMtoM#noun#2#RM
image_processing	imeja_proYsesiMga#imeja_proYsesiMga#noun#2#RM
incomplete_information	aXUrI_jAnakArI/inkamplIta_inParmeSana#aXUrI_jAnakArI/inkamplIta_inParmeSana#noun#2#RM
inference_engine	inParansa_injina#inParansa_injina#noun#2#RM
information_storage	sUcanA_saMcayana/inPoYrameSana_storeja#sUcanA_saMcayana/inPoYrameSana_storeja#noun#2#RM
initial_node	AraMBika_noda/iniSala_noda#AraMBika_noda/iniSala_noda#noun#2#RM
initial_state	AraMBika_avasWA/iniSala_steta/iniSiyala_steta#AraMBika_avasWA/iniSala_steta/iniSiyala_steta#noun#2#RM
initial_states	AraMBika_avasWAez/iniSala_stetsa/AraMBika_avasWAoM#AraMBika_avasWAez/iniSala_stetsa/AraMBika_avasWAoM#noun#2#RM
input_unit	inaputa_ikAiyoM/inaputa_yUnita/inaputa_ikAI#inaputa_ikAiyoM/inaputa_yUnita/inaputa_ikAI#noun#2#RM
input_units	inaputa_ikAiyAz/inaputa_yUnita/inaputa_ikAiyoM/inaputsa_yUnita#inaputa_ikAiyAz/inaputa_yUnita/inaputa_ikAiyoM/inaputsa_yUnita#noun#2#RM
input_values	inaputa_vElyUjZa#inaputa_vElyUjZa#noun#2#RM
input_yUnita	inaputa_ikAI#inaputa_ikAI#noun#2#RM
instance_of_relationship	iMsteMsa_oYPa_rileSanSipa#iMsteMsa_oYPa_rileSanSipa#noun#3#RM
intelligent_program	iMtelIjeMta_progrAma#iMtelIjeMta_progrAma#noun#2#RM
intelligent_programs	iMtelIjeMta_progrAmsa#iMtelIjeMta_progrAmsa#noun#2#RM
intersection_search	prawicCexana_Koja/intarsekSana_sarca#prawicCexana_Koja/intarsekSana_sarca#noun#2#RM
intrusion_detection_agent	inatrujZana_ditekSana_ejeMta/inatruSana_ditekSana_ejeMta/inatrUSana_ditekSana_ejeMta#inatrujZana_ditekSana_ejeMta/inatruSana_ditekSana_ejeMta/inatrUSana_ditekSana_ejeMta#noun#3#RM
intrusion_detection_domain	inatrUSZana_ditekSana_domena#inatrUSZana_ditekSana_domena#noun#3#RM
intrusion_detection_system	aMwarveXana_saMsUcana_praNAlI/intrUSZana_ditekSana_sistama#aMwarveXana_saMsUcana_praNAlI/intrUSZana_ditekSana_sistama#noun#3#RM
intrusion_detection_systems	inatrujZana_ditekSana_sistamsa/iMtrujZana_ditekSana_sistamsa#inatrujZana_ditekSana_sistamsa/iMtrujZana_ditekSana_sistamsa#noun#3#RM
inversely_proportional	prawIpAnupAwI/inavarsalI_praporSanala#prawIpAnupAwI/inavarsalI_praporSanala#noun#2#RM
ip_address	AIpI_edresa/AI_pI_Edrasa#AIpI_edresa/AI_pI_Edrasa#noun#2#RM
isa_relationship	ijae_rileSanSipa#ijae_rileSanSipa#noun#2#RM
iterative_deepening	itaretiva_dIpaniMga#itaretiva_dIpaniMga#noun#2#RM
iterative_deepening_a*	itaretiva_dIpaniMga_A_stAra#itaretiva_dIpaniMga_A_stAra#noun#3#RM
iterative_way	punarAvqwwi_warIkA/itaretiva_ve#punarAvqwwi_warIkA/itaretiva_ve#noun#2#RM
kit_generation_test	kita_janareSana_testa#kita_janareSana_testa#noun#3#RM
knowledge_base	noYleja_besa#noYleja_besa#noun#2#RM
knowledge_representation	jAnakArI_nirUpaNa/noYleja_reprajZentESana#jAnakArI_nirUpaNa/noYleja_reprajZentESana#noun#2#RM
knowledge_representation_scheme	jAnakArI_nirUpaNa_yojanA/noYleja_reprajZentESana_skIma/noYleja_reprajZentESana_skImsa#jAnakArI_nirUpaNa_yojanA/noYleja_reprajZentESana_skIma/noYleja_reprajZentESana_skImsa#noun#3#RM
knowledge_representation_schemes	jAnakArI_nirUpaNa_yojanAez/noYleja_reprajZentESana_skImsa/jAnakArI_nirUpaNa_yojanAoM#jAnakArI_nirUpaNa_yojanAez/noYleja_reprajZentESana_skImsa/jAnakArI_nirUpaNa_yojanAoM#noun#3#RM
knowledge_representation_technique	jAnakArI_nirUpaNa_wakanIka/noYleja_reprajZentESana_teknIka#jAnakArI_nirUpaNa_wakanIka/noYleja_reprajZentESana_teknIka#noun#3#RM
land_attack	lEMda_atEka#lEMda_atEka#noun#2#RM
late_binding	leta_bAiMdiMga#leta_bAiMdiMga#noun#2#RM
leaf_node	lIPa_noda/((/lIPa_nodsa#lIPa_noda/((/lIPa_nodsa#noun#2#RM
leaf_nodes	lIPa_nodsa#lIPa_nodsa#noun#2#RM
legal_move	vEXa_cAla/lIgala_mUva#vEXa_cAla/lIgala_mUva#noun#2#RM
legal_move_generator	vEXa_cAla_janaretara/lIgala_mUva_janaretara#vEXa_cAla_janaretara/lIgala_mUva_janaretara#noun#3#RM
legal_moves	vEXa_cAleM/lIgala_mUvaja#vEXa_cAleM/lIgala_mUvaja#noun#2#RM
linear_space_search_strategy	liniyara_spesa_sarca_strEtejI#liniyara_spesa_sarca_strEtejI#noun#4#RM
local_heuristic_function	lokala_hyUristika_PaMkSana#lokala_hyUristika_PaMkSana#noun#3#RM
local_maxima	lokala_mEksimA/sApekRika_ucciRta_Palana#lokala_mEksimA/sApekRika_ucciRta_Palana#noun#2#RM
local_minima	lokala_minimA/lokala_minImA#lokala_minimA/lokala_minImA#noun#2#RM
local_minimum	lokala_minimama/lokala_mEksimama#lokala_minimama/lokala_mEksimama#noun#2#RM
machine_learning	maSIna_larniMga#maSIna_larniMga#noun#2#RM
maneuvering_process	manyuveriMga_prosesa#manyuveriMga_prosesa#noun#2#RM
maneuvering_program	manyuveriMga_progrAma#manyuveriMga_progrAma#noun#2#RM
mass_resonance_spectrometer	xravyamAna_anunAxa_spektromItara/mAsa_rejoneMsa_spektromItara#xravyamAna_anunAxa_spektromItara/mAsa_rejoneMsa_spektromItara#noun#3#RM
mathematical_induction	gaNiwIya_preraNa/mEWamEtikala_indakSana#gaNiwIya_preraNa/mEWamEtikala_indakSana#noun#2#RM
mathematical_process	gaNiwIya_prakriyA/mEWamEtikala_prosesa#gaNiwIya_prakriyA/mEWamEtikala_prosesa#noun#2#RM
matrix_value	AvyUha_mAna/mEtriksa_vElyU#AvyUha_mAna/mEtriksa_vElyU#noun#2#RM
max_layer	aXikawama_parawa/mEksa_leyara#aXikawama_parawa/mEksa_leyara#noun#2#RM
maximum_layer	aXikawama_parawa/mEksimama_leyara#aXikawama_parawa/mEksimama_leyara#noun#2#RM
maximum_level	aXikawama_swara/mEksimama_levala#aXikawama_swara/mEksimama_levala#noun#2#RM
maximum_or_minimum_value	aXikawama_mAna/mEksimama_vElyU#aXikawama_mAna/mEksimama_vElyU#noun#4#RM
maximum_or_minimum_values	aXikawama_yA_nyUnawama_mAnoM/mEksimama_oYra_minimama_vElyUja#aXikawama_yA_nyUnawama_mAnoM/mEksimama_oYra_minimama_vElyUja#noun#4#RM
maximum_value	aXikawama_mAna/mEksimama_vElyU#aXikawama_mAna/mEksimama_vElyU#noun#2#RM
membership_grade	membarSipa_greda#membarSipa_greda#noun#2#RM
memory-based_planning	memorI-besda_plAniMga#memorI-besda_plAniMga#noun#2#RM
memory_bound	memorI_bAunda#memorI_bAunda#noun#2#RM
memory_bound_searches	memorI_bAunda_sarceja/memorI_bAunda_sarcesa#memorI_bAunda_sarceja/memorI_bAunda_sarcesa#noun#3#RM
memory_optimized_algorithms	memorI_oYptimAijZda_algorixamsa#memorI_oYptimAijZda_algorixamsa#noun#3#RM
memory_organized_pockets	memorI_oYrgenAijZda_poYketsa#memorI_oYrgenAijZda_poYketsa#noun#3#RM
mental_transformation	meMtala_trAMsaParmeSana#meMtala_trAMsaParmeSana#noun#2#RM
milk_jug_problem	milka_jaga_problama#milka_jaga_problama#noun#3#RM
min-max_layer	nyUnawama-aXikawama_parawa/mina-mEksa_leyara#nyUnawama-aXikawama_parawa/mina-mEksa_leyara#noun#2#RM
min_layer	nyUnawama_parawa/mina_leyara#nyUnawama_parawa/mina_leyara#noun#2#RM
mini_maxima	minI_mEksimA#minI_mEksimA#noun#2#RM
minimax_algorithm	minimEksa_algorixama/minimEksa_elgorixama#minimEksa_algorixama/minimEksa_elgorixama#noun#2#RM
minimax_layers	minimEksa_leyarsa#minimEksa_leyarsa#noun#2#RM
minimum_and_maximum_layer	nyUnawama_Ora_aXikawama_parawa/minimama_eMda_mEksimama_leyara#nyUnawama_Ora_aXikawama_parawa/minimama_eMda_mEksimama_leyara#noun#4#RM
minimum_layer	nyUnawama_parawa/minimama_leyara#nyUnawama_parawa/minimama_leyara#noun#2#RM
minimum_level	nyUnawama_swara/minimama_levala#nyUnawama_swara/minimama_levala#noun#2#RM
minimum_value	nyUnawama_mAna/minimama_vElyU#nyUnawama_mAna/minimama_vElyU#noun#2#RM
missionary_cannibal_problem	pAxarI_naraBakRI_samasyA/miSanarI_kEnibala_problama#pAxarI_naraBakRI_samasyA/miSanarI_kEnibala_problama#noun#3#RM
missionary_cannibal_program	miSanarI_naraBakRI_progrAma#miSanarI_naraBakRI_progrAma#noun#3#RM
mobile_agents	mobAila_ejeMtsa#mobAila_ejeMtsa#noun#2#RM
mobile_and_multi_agent_games	mobAila_Ora_maltI_ejeMta_gemsa#mobAila_Ora_maltI_ejeMta_gemsa#noun#5#RM
momentum_factor	gawi_kAraka/momeMtama_PEktara#gawi_kAraka/momeMtama_PEktara#noun#2#RM
move_generator	mUva_janaretara#mUva_janaretara#noun#2#RM
movegen_function	mUva_jena_PaMkSana#mUva_jena_PaMkSana#noun#2#RM
multi-layer_network	bahu-parawa_netavarka/maltI-leyara_netavarka#bahu-parawa_netavarka/maltI-leyara_netavarka#noun#2#RM
multi-layer_neural_network	maltI-leyara_nyUrala_netavarka#maltI-leyara_nyUrala_netavarka#noun#3#RM
multi-layer_neuron	maltI-leyara_nyUroYna#maltI-leyara_nyUroYna#noun#2#RM
multi-layer_perceptron	maltI-leyara_paraseptroYna#maltI-leyara_paraseptroYna#noun#2#RM
multi_agent_game	maltI_ejeMta_gema#maltI_ejeMta_gema#noun#3#RM
multi_agent_games	maltI_ejeMta_gemsa#maltI_ejeMta_gemsa#noun#3#RM
multi_core	bahu_kora/malti_kora#bahu_kora/malti_kora#noun#2#RM
multi_layer_network	maltI_leara_netavarka#maltI_leara_netavarka#noun#3#RM
multi_layer_neural_network	maltI_leara_nyUrala_netavarka#maltI_leara_nyUrala_netavarka#noun#4#RM
multiple_hidden_layers	bahula_CipI_parawe/maltIpala_hidana_leyarsa/bahula_CipI_paraweM#bahula_CipI_parawe/maltIpala_hidana_leyarsa/bahula_CipI_paraweM#noun#3#RM
multiple_inheritance	maltIpala_inheritansa#maltIpala_inheritansa#noun#2#RM
multiple_layers	bahula_parawoM/maltIpala_leyarsa#bahula_parawoM/maltIpala_leyarsa#noun#2#RM
myers-briggs_model	mAyarsa-brigsa_moYdala#mAyarsa-brigsa_moYdala#noun#2#RM
n-dimensional_space	N-dimenSanala_spesa#N-dimenSanala_spesa#noun#2#RM
n_dimensional_space	N_dAimenSanala_spesa#N_dAimenSanala_spesa#noun#3#RM
natural_language_understanding_system	nEcurala_lEMgaveja_aMdarastEMdiMga_sistama#nEcurala_lEMgaveja_aMdarastEMdiMga_sistama#noun#4#RM
nearest_neighbor	niyaresta_nebara#niyaresta_nebara#noun#2#RM
nearest_neighbor_algorithm	niyaresta_nebara_elgorixama/niyaresta_nebara_kalanaviXi#niyaresta_nebara_elgorixama/niyaresta_nebara_kalanaviXi#noun#3#RM
negative_infinity	negetivainPinitI#negetivainPinitI#noun#2#RM
negative_misclassification	qNa_galawa_vargIkaraNa/negetiva_misaklAsiPikeSana/nigetiva_miskalAsiPikeSana/negetiva_miskalAsiPikeSana#qNa_galawa_vargIkaraNa/negetiva_misaklAsiPikeSana/nigetiva_miskalAsiPikeSana/negetiva_miskalAsiPikeSana#noun#2#RM
negative_value	qNAwmaka_mAna/negetiva_vElyU#qNAwmaka_mAna/negetiva_vElyU#noun#2#RM
negative_values	negetiva_velyUja#negetiva_velyUja#noun#2#RM
negatively_misclassification	negetivalI_miskalAsiPikeSana#negetivalI_miskalAsiPikeSana#noun#2#RM
neighborhood_functions	nebarahuda_PaMkSansa#nebarahuda_PaMkSansa#noun#2#RM
neighbourhood_function	nebarahuda_PaMkSana#nebarahuda_PaMkSana#noun#2#RM
network_protocol_problem	netavarka_protokoYla_problama#netavarka_protokoYla_problama#noun#3#RM
neural_network	waMwrikA_netavarka/nyUrala_netavarka/waMwrikIya_waMwra#waMwrikA_netavarka/nyUrala_netavarka/waMwrikIya_waMwra#noun#2#RM
neural_network_program	waMwrikA_netavarka_progrAma/nyUrala_netavarka_progrAma#waMwrikA_netavarka_progrAma/nyUrala_netavarka_progrAma#noun#3#RM
neural_networks	waMwrikA_netavarka/nyUrala_netavarksa/waMwrikA_netavarksa#waMwrikA_netavarka/nyUrala_netavarksa/waMwrikA_netavarksa#noun#2#RM
ninth_state	nInWa_steta#nInWa_steta#noun#2#RM
non-monotonic_reasoning_system	noYna-monotonika_rIjZaniMga_sistama#noYna-monotonika_rIjZaniMga_sistama#noun#3#RM
non-optimal_path	gEra-anukUlawama_mArga/noYna_oYptimala_pAWa#gEra-anukUlawama_mArga/noYna_oYptimala_pAWa#noun#2#RM
non_monotonic_reasoning_system	noYna_monotonika_rIjZaniMga_sistama#noYna_monotonika_rIjZaniMga_sistama#noun#4#RM
non_optimal_solutions	noYna_oYptImala_soYlyUSansa#noYna_oYptImala_soYlyUSansa#noun#3#RM
nonlinear_planning	noYnaliniyara_plAniMga#noYnaliniyara_plAniMga#noun#2#RM
null_statement	nala_stetameMta#nala_stetameMta#noun#2#RM
object-_oriented	oYbjekta_orieMteda#oYbjekta_orieMteda#noun#2#RM
object_oriented_programming	oYbjekta_orieMteda_progrAmiMga#oYbjekta_orieMteda_progrAmiMga#noun#3#RM
object_oriented_programming_languages	oYbjekta_orieMteda_progrAmiMga_lEMgvejesa#oYbjekta_orieMteda_progrAmiMga_lEMgvejesa#noun#4#RM
objective_function	oYbjektiva_PaMkSana#oYbjektiva_PaMkSana#noun#2#RM
objective_function_value	oYbjektiva_PaMkSana_vElyU#oYbjektiva_PaMkSana_vElyU#noun#3#RM
objective_probability	oYbjektiva_probebilitI#oYbjektiva_probebilitI#noun#2#RM
odd_moves	viRama_cAleM/oda_mUvaja#viRama_cAleM/oda_mUvaja#noun#2#RM
operating_system	oYparetiMga_sistama#oYparetiMga_sistama#noun#2#RM
optimal_function	oYptimala_PaMkSana#oYptimala_PaMkSana#noun#2#RM
optimal_functions	oYptImala_PaMkSansa#oYptImala_PaMkSansa#noun#2#RM
optimal_path	anukUlawama_mArga/oYptimala_pAWa#anukUlawama_mArga/oYptimala_pAWa#noun#2#RM
optimal_plan	oYptImala_plAna#oYptImala_plAna#noun#2#RM
optimal_solution	oYptimala_soYlyUSana/oYptimala_solyUSana/oYptImala_soYlyUSana/oYptImala_solyUSana#oYptimala_soYlyUSana/oYptimala_solyUSana/oYptImala_soYlyUSana/oYptImala_solyUSana#noun#2#RM
or_arc	oYra_arka#oYra_arka#noun#2#RM
order_crossover	oYrdara_kroYsaovara#oYrdara_kroYsaovara#noun#2#RM
ordinal_representation	oYrdinala_riprajeMteSana#oYrdinala_riprajeMteSana#noun#2#RM
output_layer	Autaputa_parawa/Autaputa_leara/Autaputa_leyara#Autaputa_parawa/Autaputa_leara/Autaputa_leyara#noun#2#RM
output_unit	Autaputa_ikAiyoM/Autaputa_yUnita/Autaputa_ikAI#Autaputa_ikAiyoM/Autaputa_yUnita/Autaputa_ikAI#noun#2#RM
output_units	Autaputa_ikAiyAz/Autaputa_yUnitsa/Autaputa_ikAiyoM/Autaputa_ikAIyoM#Autaputa_ikAiyAz/Autaputa_yUnitsa/Autaputa_ikAiyoM/Autaputa_ikAIyoM#noun#2#RM
output_value	AutaputavElyU#AutaputavElyU#noun#2#RM
parallel_processing	samAnAMwara_prakramaNa/pEralala_prosesiMga#samAnAMwara_prakramaNa/pEralala_prosesiMga#noun#2#RM
parent_node	pEreMta_noda/pEreMtanoda_noda#pEreMta_noda/pEreMtanoda_noda#noun#2#RM
parent_value	pereMta_velyU#pereMta_velyU#noun#2#RM
parking_sensor_node	pArkiMga_seMsara_noda#pArkiMga_seMsara_noda#noun#3#RM
partial_ordering	pArSiyala_oYrdariMga#pArSiyala_oYrdariMga#noun#2#RM
partial_solutions	pArSiyala_solyUSansa#pArSiyala_solyUSansa#noun#2#RM
partially_mapped_crossover	pArSiyalI_mEpda_kroYsaovara#pArSiyalI_mEpda_kroYsaovara#noun#3#RM
partition_semantic_net	pArtiSana_simEMtika_neta#pArtiSana_simEMtika_neta#noun#3#RM
password_cracker	pAsavarda_krEkara#pAsavarda_krEkara#noun#2#RM
path_representation	pAWa_riprajeMteSana#pAWa_riprajeMteSana#noun#2#RM
percept_sequence	parasepta_sIkveMsa/parsepta_sIkveMsa#parasepta_sIkveMsa/parsepta_sIkveMsa#noun#2#RM
permutation_and_combination	kramacaya_Ora_saMcaya/paramyuteSana_Ora_koYmbineSana#kramacaya_Ora_saMcaya/paramyuteSana_Ora_koYmbineSana#noun#3#RM
perturbation_search	partarbeSana_Koja/partarbeSana_sarca#partarbeSana_Koja/partarbeSana_sarca#noun#2#RM
pheromone_value	Peromona_vElyU#Peromona_vElyU#noun#2#RM
pheromone_values	Peromona_vElyUja#Peromona_vElyUja#noun#2#RM
physical_symbol_system	BOwika_prawIka_praNAlI/Pijikala_simbala_sistama#BOwika_prawIka_praNAlI/Pijikala_simbala_sistama#noun#3#RM
physical_symbol_system_hypothesis	BOwika_prawIka_praNAlI_parikalpanA/Pijikala_simbala_sistama_hAipoWisisa#BOwika_prawIka_praNAlI_parikalpanA/Pijikala_simbala_sistama_hAipoWisisa#noun#4#RM
physical_transformation	Pijikala_trAMsaParmeSana#Pijikala_trAMsaParmeSana#noun#2#RM
picture_aiders	ciwra_sahAyaka/pikcara_edarsa#ciwra_sahAyaka/pikcara_edarsa#noun#2#RM
picture_producer	pikcara_pradyUsara#pikcara_pradyUsara#noun#2#RM
picture_producers	pikcara_pradyUsarsa#pikcara_pradyUsarsa#noun#2#RM
piece_exchange	pIsa_eksceMja#pIsa_eksceMja#noun#2#RM
pixel_value	piksela_mAna/piksela_vElyU#piksela_mAna/piksela_vElyU#noun#2#RM
plan_space_planning	plAna_spesa_plAniMga#plAna_spesa_plAniMga#noun#3#RM
plan_stack_planning	plAna_stEka_plAniMga#plAna_stEka_plAniMga#noun#3#RM
planning_process	plAniMga_prosesa/plAniM_prosesa#plAniMga_prosesa/plAniM_prosesa#noun#2#RM
plausible_move	svIkArya_cAla/ploYjZabala_mUva#svIkArya_cAla/ploYjZabala_mUva#noun#2#RM
plausible_move_generator	ploYjZabala_mUva_janaretara/svIkArya_cAla_janaretara#ploYjZabala_mUva_janaretara/svIkArya_cAla_janaretara#noun#3#RM
plausible_move_generators	svIkArya_cAla_janaretaroM/ploYjZabala_mUva_janaretaroM#svIkArya_cAla_janaretaroM/ploYjZabala_mUva_janaretaroM#noun#3#RM
plausible_moves	svIkArya_cAleM/ploYjZabala_mUvaja/svIkArya_cAloM#svIkArya_cAleM/ploYjZabala_mUvaja/svIkArya_cAloM#noun#2#RM
ply_search	plAI_sarca#plAI_sarca#noun#2#RM
positive_infinity	poYjitiva_inPinitI#poYjitiva_inPinitI#noun#2#RM
positive_misclassification	Xana_galawa_vargIkaraNa/poYjitiva_misaklAsiPikeSana/poYjitiva_miskalAsiPikeSana#Xana_galawa_vargIkaraNa/poYjitiva_misaklAsiPikeSana/poYjitiva_miskalAsiPikeSana#noun#2#RM
positive_value	Xana_mAna/poYjitiva_vElyU#Xana_mAna/poYjitiva_vElyU#noun#2#RM
positive_values	pojitiva_velyUja#pojitiva_velyUja#noun#2#RM
positively_misclassification	poYjItivalI_miskalAsiPikeSana#poYjItivalI_miskalAsiPikeSana#noun#2#RM
possessed_by	posesda_bAI#posesda_bAI#noun#2#RM
power_point	poYvara_poYiMta#poYvara_poYiMta#noun#2#RM
power_point_animation	poYvara_poYiMta_enImeSana#poYvara_poYiMta_enImeSana#noun#3#RM
predicate_act	viXeya_cara/prediketa_ekta#viXeya_cara/prediketa_ekta#noun#2#RM
predicate_logic	nirXAraka_warka/prediketa_loYjika/predIketa_loYjika#nirXAraka_warka/prediketa_loYjika/predIketa_loYjika#noun#2#RM
predicate_logic_problems	nirXAraka_warka_problamsa/predIketa_loYjika_problamsa#nirXAraka_warka_problamsa/predIketa_loYjika_problamsa#noun#3#RM
predicate_value	nirXAraka_mAna/prediketa_vElyU#nirXAraka_mAna/prediketa_vElyU#noun#2#RM
previous_percepts	priviasa_paraseptsa#priviasa_paraseptsa#noun#2#RM
problem_reduction_system	problama_ridakSana_sistama#problama_ridakSana_sistama#noun#3#RM
problem_space	problama_spesa#problama_spesa#noun#2#RM
problem_state	problama_steta#problama_steta#noun#2#RM
problems_reduction_algorithm	problemsa_ridakSana_algoriWama#problemsa_ridakSana_algoriWama#noun#3#RM
processing_time	prosesiMga_tAima#prosesiMga_tAima#noun#2#RM
production_rules	prodakSana_rUlsa#prodakSana_rUlsa#noun#2#RM
programming_language	progrAmiMga_lEMgveja#progrAmiMga_lEMgveja#noun#2#RM
prolog_program	proloYga_progrAma#proloYga_progrAma#noun#2#RM
propositional_and_predicate_logic	prapojZiSanala_Ora_nirXAraka_warka/prapojZiSanala_eMda_prediketa_loYjika#prapojZiSanala_Ora_nirXAraka_warka/prapojZiSanala_eMda_prediketa_loYjika#noun#4#RM
propositional_logic	prapojZiSanala_loYjika#prapojZiSanala_loYjika#noun#2#RM
pseudo_code	sUdo_koda#sUdo_koda#noun#2#RM
random_node	rEMdama_noda#rEMdama_noda#noun#2#RM
random_sequences	yAxqcCika_anukramoM/reMdama_sikveMsesa#yAxqcCika_anukramoM/reMdama_sikveMsesa#noun#2#RM
random_set	yAxqcCika_seta/reMdama_seta#yAxqcCika_seta/reMdama_seta#noun#2#RM
random_solution	yAxqcCika_samAXAna/reMdama_solyUSana#yAxqcCika_samAXAna/reMdama_solyUSana#noun#2#RM
random_walk	rEMdama_voYka#rEMdama_voYka#noun#2#RM
real_random_inheritance	vAswavika_yAxqcCika_virAsawa/riyala_rEndama_inaheritensa#vAswavika_yAxqcCika_virAsawa/riyala_rEndama_inaheritensa#noun#3#RM
real_space	riyala_spesa#riyala_spesa#noun#2#RM
real_time	riyala_tAima/vAswavika_samaya/riyala_tAIma/vAswavika_samaya_sImA#riyala_tAima/vAswavika_samaya/riyala_tAIma/vAswavika_samaya_sImA#noun#2#RM
recipient_case_relationship	resipienta_kesa_rileSanSipa#resipienta_kesa_rileSanSipa#noun#3#RM
recursive_algorithm	punarAvarwI_kalana_viXi/rikarsiva_elgorixama#punarAvarwI_kalana_viXi/rikarsiva_elgorixama#noun#2#RM
recursive_best_first	rikarsiva_besta_Parsta#rikarsiva_besta_Parsta#noun#3#RM
recursive_best_first_search	rikarsiva_besta_Parsta_sarca#rikarsiva_besta_Parsta_sarca#noun#4#RM
recursive_call	punarAvarwI_koYla/rikarsiva_koYla#punarAvarwI_koYla/rikarsiva_koYla#noun#2#RM
recursive_process	punarAvqwwi_prakriyA/rikarsiva_prosesa#punarAvqwwi_prakriyA/rikarsiva_prosesa#noun#2#RM
recursive_PaMkSana	punarAvarwI_PaMkSana/rikarsiva_PaMkSana#punarAvarwI_PaMkSana/rikarsiva_PaMkSana#noun#2#RM
red_node	reda_noda#reda_noda#noun#2#RM
refinement_search	pariSoXiwa_Koja/riPAinameMta_sarca/pariRkqwa_Koja/riPAiMmeMta_sarca#pariSoXiwa_Koja/riPAinameMta_sarca/pariRkqwa_Koja/riPAiMmeMta_sarca#noun#2#RM
